지점,지점명,일시,1.5M 정시 습도(%),10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),1.5M 정시 기온(°C),1.5M 정시 풍속(m/s),정시 지면온도(°C),정시 초상온도(°C),1.5M 정시 지중온도(°C),정시 누적 순복사(MJ/m2),정시 누적 전천복사(MJ/m2),정시 누적 반사복사(MJ/m2),정시 조도(10lux),정시 지하수위(cm),rain_mm
119,수원(농),2024-01-02 13:00:00,71.4,47.0,46.6,48.3,62.2,4.0,,4.9,5.6,8.8,,,,,,0.0
119,수원(농),2024-01-02 14:00:00,71.9,46.9,46.8,48.3,62.7,4.0,,5.5,7.1,8.8,,,,,,0.0
119,수원(농),2024-01-02 15:00:00,62.9,46.7,46.6,48.4,62.2,4.3,,4.8,6.1,8.8,,,,,,0.0
119,수원(농),2024-01-02 16:00:00,60.1,47.1,46.7,48.7,62.5,4.1,,3.7,4.8,8.8,,,,,,0.0
119,수원(농),2024-01-02 17:00:00,64.1,46.8,46.5,48.6,62.1,3.4,,2.2,2.0,8.7,,,,,,0.0
119,수원(농),2024-01-02 18:00:00,67.0,47.1,46.8,48.2,62.6,2.5,,0.7,-0.7,8.7,,100.0,,,,0.0
119,수원(농),2024-01-02 19:00:00,69.1,47.0,47.0,48.4,62.5,2.0,,0.4,-1.9,8.7,,100.0,,,,0.0
119,수원(농),2024-01-02 20:00:00,71.6,47.1,46.6,48.3,61.7,1.4,,-0.1,-3.4,8.6,,100.0,,,,0.0
119,수원(농),2024-01-02 21:00:00,74.7,46.6,46.5,47.9,62.6,1.1,,-0.3,-2.7,8.6,,100.0,,,,0.0
119,수원(농),2024-01-02 22:00:00,80.3,46.7,46.1,48.0,62.1,0.6,,-0.5,-1.7,8.6,,100.0,,,,0.0
119,수원(농),2024-01-02 23:00:00,81.0,46.5,46.9,48.3,61.8,0.5,,-0.2,-2.0,8.6,,100.0,,,,0.0
119,수원(농),2024-01-03 00:00:00,82.2,46.8,46.5,48.2,62.8,0.6,,-0.2,-2.2,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 01:00:00,83.1,46.6,46.3,47.8,63.0,0.3,,-0.2,-2.5,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 02:00:00,84.5,46.5,46.5,48.1,63.3,0.2,,-0.2,-1.8,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 03:00:00,84.3,46.4,46.3,47.6,62.5,0.4,,-0.2,-1.0,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 04:00:00,83.8,46.6,46.5,47.7,62.5,0.6,,-0.1,-0.7,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 05:00:00,83.9,46.6,46.5,48.0,63.1,0.8,,0.2,-0.6,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 06:00:00,81.2,46.5,46.5,47.9,62.8,1.0,,0.3,-0.3,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 07:00:00,83.6,46.7,46.6,47.7,63.1,1.0,,0.4,-0.2,8.6,,100.0,,,,1.9
119,수원(농),2024-01-03 08:00:00,84.2,46.5,47.1,48.1,62.6,1.1,,0.5,0.1,8.6,,,,,,1.9
119,수원(농),2024-01-03 09:00:00,86.5,46.5,46.2,47.6,63.6,1.2,,0.8,0.7,8.6,,,,,,1.9
119,수원(농),2024-01-03 10:00:00,89.6,46.6,46.3,48.0,62.7,1.3,,1.2,1.3,8.6,,,,,,1.9
119,수원(농),2024-01-03 11:00:00,93.8,46.9,47.0,47.8,63.3,1.7,,3.5,5.1,8.6,,,,,,1.9
119,수원(농),2024-01-03 12:00:00,87.5,46.9,46.4,47.8,62.1,2.8,,5.0,5.7,8.7,,,,,,1.9
119,수원(농),2024-01-03 13:00:00,86.7,46.7,46.4,48.3,62.3,3.1,,4.7,5.2,8.7,,,,,,1.9
119,수원(농),2024-01-03 14:00:00,91.6,46.8,46.1,48.3,61.5,3.1,,5.3,5.6,8.6,,,,,,1.9
119,수원(농),2024-01-03 15:00:00,92.2,46.9,46.5,48.1,62.3,2.5,,3.8,3.1,8.6,,,,,,1.9
119,수원(농),2024-01-03 16:00:00,88.9,47.1,46.4,48.3,61.8,3.1,,4.3,3.3,8.7,,,,,,1.9
119,수원(농),2024-01-03 17:00:00,86.9,47.2,46.5,48.2,63.2,2.6,,2.0,-0.1,8.6,,,,,,1.9
119,수원(농),2024-01-03 18:00:00,87.7,47.1,46.2,48.1,61.9,1.5,,0.2,-1.9,8.5,,100.0,,,,1.9
119,수원(농),2024-01-03 19:00:00,92.9,47.1,46.1,48.4,62.3,0.7,,-0.3,-3.6,8.5,,100.0,,,,1.9
119,수원(농),2024-01-03 20:00:00,94.0,47.4,46.7,48.0,63.2,0.4,,-0.3,-4.1,8.5,,100.0,,,,1.9
119,수원(농),2024-01-03 21:00:00,84.7,47.3,46.5,48.3,62.6,0.1,,-0.4,-4.5,8.5,,100.0,,,,1.9
119,수원(농),2024-01-03 22:00:00,69.8,47.0,46.6,48.4,62.5,0.0,,-0.9,-4.3,8.5,,100.0,,,,1.9
119,수원(농),2024-01-03 23:00:00,66.6,47.1,46.5,47.6,62.9,-0.4,,-1.3,-5.8,8.5,,100.0,,,,1.9
119,수원(농),2024-01-04 00:00:00,69.6,47.4,46.7,47.4,62.2,-0.8,,-1.8,-6.7,8.5,,100.0,,,,0.0
119,수원(농),2024-01-04 01:00:00,76.1,47.4,46.7,48.3,62.9,-2.0,,-2.2,-8.1,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 02:00:00,80.6,47.2,46.6,48.0,62.1,-2.8,,-2.5,-9.1,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 03:00:00,85.5,46.9,46.5,48.2,62.2,-3.4,,-2.7,-9.6,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 04:00:00,88.8,46.7,44.2,48.5,62.6,-3.9,,-2.8,-9.7,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 05:00:00,90.9,46.9,43.9,48.4,62.5,-4.7,,-2.9,-10.1,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 06:00:00,93.0,46.8,44.4,48.8,62.6,-4.3,,-3.1,-9.5,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 07:00:00,92.5,46.6,44.1,48.1,61.9,-4.1,,-2.4,-7.3,8.4,,100.0,,,,0.0
119,수원(농),2024-01-04 08:00:00,90.2,46.2,43.1,48.0,62.5,-3.0,,-2.2,-5.8,8.4,,,,,,0.0
119,수원(농),2024-01-04 09:00:00,84.2,46.2,42.6,48.5,63.3,-1.8,,-0.7,-1.4,8.5,,,,,,0.0
119,수원(농),2024-01-04 10:00:00,82.1,45.7,42.1,48.9,62.7,-0.9,,-0.3,0.2,8.5,,,,,,0.0
119,수원(농),2024-01-04 11:00:00,68.0,46.4,42.2,49.3,62.1,0.9,,0.4,2.5,8.5,,,,,,0.0
119,수원(농),2024-01-04 12:00:00,58.5,46.1,42.2,48.8,62.1,2.6,,1.0,7.3,8.6,,,,,,0.0
119,수원(농),2024-01-04 13:00:00,59.3,46.8,43.7,48.7,63.4,3.5,,3.2,9.1,8.6,,,,,,0.0
119,수원(농),2024-01-04 14:00:00,58.7,46.7,46.1,48.6,62.7,4.9,,7.5,12.9,8.7,,,,,,0.0
119,수원(농),2024-01-04 15:00:00,60.2,47.3,46.4,49.0,63.5,4.9,,6.3,9.9,8.6,,,,,,0.0
119,수원(농),2024-01-04 16:00:00,61.4,47.4,45.9,49.1,62.7,4.9,,3.7,5.2,8.6,,,,,,0.0
119,수원(농),2024-01-04 17:00:00,63.5,47.0,45.8,48.7,63.0,4.7,,2.5,3.3,8.6,,,,,,0.0
119,수원(농),2024-01-04 18:00:00,61.8,46.9,46.1,48.5,61.9,4.8,,1.8,2.7,8.5,,100.0,,,,0.0
119,수원(농),2024-01-04 19:00:00,65.3,47.0,45.6,48.9,63.1,4.3,,1.3,2.1,8.5,,100.0,,,,0.0
119,수원(농),2024-01-04 20:00:00,68.9,46.9,45.4,49.0,62.9,4.0,,0.9,0.3,8.5,,100.0,,,,0.0
119,수원(농),2024-01-04 21:00:00,70.4,47.1,45.9,48.8,63.2,3.5,,0.7,-0.3,8.5,,100.0,,,,0.0
119,수원(농),2024-01-04 22:00:00,73.1,46.9,46.3,48.6,62.2,3.0,,0.4,0.1,8.5,,100.0,,,,0.0
119,수원(농),2024-01-04 23:00:00,74.1,46.7,45.8,48.9,63.5,2.8,,0.5,0.6,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 00:00:00,72.0,46.8,45.4,49.0,62.6,3.4,,0.9,1.8,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 01:00:00,76.1,46.7,45.8,49.1,63.1,2.5,,-0.1,-1.3,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 02:00:00,79.1,46.5,45.7,48.5,62.9,2.0,,-0.7,-2.7,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 03:00:00,79.4,46.2,45.4,48.7,62.4,2.3,,0.3,-0.2,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 04:00:00,81.4,46.4,45.8,48.9,62.6,2.2,,0.4,0.4,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 05:00:00,81.7,46.4,45.9,48.6,62.4,2.7,,1.0,1.4,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 06:00:00,81.8,46.3,45.5,48.5,63.1,3.5,,1.3,2.1,8.5,,100.0,,,,0.0
119,수원(농),2024-01-05 07:00:00,83.8,46.4,45.7,48.4,63.2,3.6,,1.6,2.4,8.5,,,,,,0.0
119,수원(농),2024-01-05 08:00:00,83.4,46.2,43.1,49.0,62.6,3.7,,1.8,2.7,8.5,,,,,,0.0
119,수원(농),2024-01-05 09:00:00,83.7,46.3,42.9,49.1,62.1,3.9,,2.1,3.0,8.5,,,,,,0.0
119,수원(농),2024-01-05 10:00:00,82.2,46.0,42.9,48.9,63.0,4.8,,4.2,6.9,8.6,,,,,,0.0
119,수원(농),2024-01-05 11:00:00,78.4,46.2,43.0,48.9,63.2,6.4,,7.5,11.1,8.6,,,,,,0.0
119,수원(농),2024-01-05 12:00:00,69.4,45.9,42.8,48.7,62.5,7.9,,8.0,10.5,8.6,,,,,,0.0
119,수원(농),2024-01-05 13:00:00,63.5,46.1,42.9,49.0,62.9,8.6,,10.0,13.0,8.6,,,,,,0.0
119,수원(농),2024-01-05 14:00:00,64.4,46.0,42.7,48.7,63.3,8.9,,11.1,15.2,8.6,,,,,,0.0
119,수원(농),2024-01-05 15:00:00,61.9,45.4,42.6,48.4,63.1,8.9,,11.4,14.5,8.6,,,,,,0.0
119,수원(농),2024-01-05 16:00:00,66.7,45.3,42.1,48.8,62.1,7.8,,7.9,10.2,8.6,,,,,,0.0
119,수원(농),2024-01-05 17:00:00,73.5,45.4,41.9,48.2,63.5,6.2,,4.6,4.9,8.5,,,,,,0.0
119,수원(농),2024-01-05 18:00:00,81.8,45.1,41.8,48.5,62.8,3.8,,2.2,0.8,8.4,,100.0,,,,0.0
119,수원(농),2024-01-05 19:00:00,87.0,45.3,41.3,48.3,62.8,3.5,,1.2,0.5,8.4,,100.0,,,,0.0
119,수원(농),2024-01-05 20:00:00,89.3,44.9,40.1,48.7,62.7,3.1,,0.5,-0.7,8.4,,100.0,,,,0.0
119,수원(농),2024-01-05 21:00:00,90.0,44.9,39.9,48.0,62.5,2.4,,-0.2,-2.2,8.4,,100.0,,,,0.0
119,수원(농),2024-01-05 22:00:00,90.4,44.9,39.0,48.2,62.6,1.4,,-0.3,-5.7,8.4,,100.0,,,,0.0
119,수원(농),2024-01-05 23:00:00,88.8,44.8,37.8,48.7,63.0,0.8,,-0.3,-2.8,8.4,,100.0,,,,0.0
119,수원(농),2024-01-06 00:00:00,86.9,44.6,37.5,48.4,63.1,0.0,,-0.9,-4.5,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 01:00:00,90.2,44.3,36.6,48.6,62.5,-0.9,,-1.2,-6.2,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 02:00:00,87.5,43.8,36.1,48.5,62.7,-1.5,,-1.6,-7.9,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 03:00:00,88.8,43.8,35.7,48.7,62.7,-1.9,,-2.1,-9.0,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 04:00:00,88.5,43.8,35.4,48.3,63.5,-2.3,,-2.5,-8.3,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 05:00:00,80.4,43.7,34.9,48.2,63.3,-2.4,,-2.6,-8.9,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 06:00:00,76.9,43.2,34.4,48.2,63.0,-2.7,,-2.9,-9.8,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 07:00:00,86.7,43.2,34.0,47.1,62.6,-3.4,,-3.2,-9.3,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 08:00:00,84.0,43.2,33.7,46.1,63.2,-3.1,,-3.0,-9.1,8.3,,,,,,0.6
119,수원(농),2024-01-06 09:00:00,63.2,42.8,33.1,46.5,61.7,-0.3,,-1.6,-2.7,8.4,,,,,,0.6
119,수원(농),2024-01-06 10:00:00,50.0,42.6,32.9,45.9,61.7,1.1,,-0.9,1.2,8.5,,,,,,0.6
119,수원(농),2024-01-06 11:00:00,43.0,42.5,32.7,46.3,61.9,2.2,,2.3,1.8,8.5,,,,,,0.6
119,수원(농),2024-01-06 12:00:00,39.6,42.8,32.4,45.9,62.9,3.3,,5.1,14.0,8.6,,,,,,0.6
119,수원(농),2024-01-06 13:00:00,38.0,42.6,32.3,45.7,63.0,3.6,,11.5,16.8,8.5,,,,,,0.6
119,수원(농),2024-01-06 14:00:00,40.2,42.9,32.9,45.7,63.2,4.3,,12.6,18.4,8.6,,,,,,0.6
119,수원(농),2024-01-06 15:00:00,43.6,42.9,33.0,45.7,63.5,4.4,,8.6,10.8,8.5,,,,,,0.6
119,수원(농),2024-01-06 16:00:00,43.6,42.7,32.6,46.3,62.8,4.2,,4.0,6.5,8.5,,,,,,0.6
119,수원(농),2024-01-06 17:00:00,40.6,42.8,32.6,46.8,63.1,2.9,,0.6,1.4,8.4,,,,,,0.6
119,수원(농),2024-01-06 18:00:00,41.6,43.0,32.7,46.1,62.3,1.6,,-0.2,-3.8,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 19:00:00,74.2,42.8,32.5,46.1,62.4,0.7,,-0.3,-1.2,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 20:00:00,95.3,42.5,32.5,45.7,63.1,-0.1,,-0.2,-0.5,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 21:00:00,96.1,42.7,32.4,46.0,62.5,0.0,,-0.1,-0.6,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 22:00:00,96.5,42.7,32.3,45.4,62.3,-0.1,,0.0,-1.2,8.3,,100.0,,,,0.6
119,수원(농),2024-01-06 23:00:00,92.7,42.5,32.2,45.5,63.1,-1.0,,-0.3,-3.7,8.3,,100.0,,,,0.6
119,수원(농),2024-01-07 01:00:00,83.7,42.6,32.0,45.3,63.2,-2.0,,-0.3,-4.7,8.3,,100.0,,,0.0,0.0
119,수원(농),2024-01-07 02:00:00,79.5,42.4,31.9,45.1,62.8,-2.8,,-0.7,-5.8,8.3,,100.0,,,0.0,0.0
119,수원(농),2024-01-07 03:00:00,78.8,42.4,32.2,44.8,62.8,-3.3,,-1.1,-6.4,8.2,,100.0,,,0.0,0.0
119,수원(농),2024-01-07 04:00:00,80.8,42.5,31.7,44.2,62.9,-4.0,,-1.3,-7.1,8.2,,100.0,,,0.0,0.0
119,수원(농),2024-01-07 05:00:00,82.6,42.4,31.5,44.3,63.2,-4.4,,-1.7,-7.3,8.2,,100.0,,,0.0,0.0
119,수원(농),2024-01-07 06:00:00,86.8,42.4,31.5,45.0,62.2,-5.1,,-2.1,-8.0,8.1,,100.0,,,,0.0
119,수원(농),2024-01-07 07:00:00,65.0,42.1,31.4,44.4,62.6,-3.9,,-2.1,-7.2,8.2,,100.0,,,,0.0
119,수원(농),2024-01-07 08:00:00,55.3,41.9,31.1,44.4,62.7,-4.3,,-2.2,-7.8,8.2,,,,,,0.0
119,수원(농),2024-01-07 09:00:00,47.2,41.8,30.9,43.8,62.1,-3.4,,-1.4,-5.7,8.3,,,,,,0.0
119,수원(농),2024-01-07 10:00:00,40.4,41.9,30.2,43.1,62.7,-2.9,,-1.2,-3.8,8.4,,,,,,0.0
119,수원(농),2024-01-07 11:00:00,43.0,41.9,30.4,42.6,63.1,-2.5,,-0.2,-2.9,8.4,,,,,,0.0
119,수원(농),2024-01-07 12:00:00,43.3,41.6,30.6,42.3,62.5,-2.0,,3.3,5.4,8.4,,,,,,0.0
119,수원(농),2024-01-07 13:00:00,44.8,41.9,30.6,42.3,62.7,-1.1,,5.8,8.7,8.4,,,,,,0.0
119,수원(농),2024-01-07 14:00:00,41.4,42.0,30.5,42.3,61.9,-1.8,,5.9,7.7,8.4,,,,,,0.0
119,수원(농),2024-01-07 15:00:00,40.9,41.9,30.7,42.1,62.9,-1.7,,5.1,5.2,8.4,,,,,,0.0
119,수원(농),2024-01-07 16:00:00,42.0,41.8,30.7,42.3,63.0,-2.0,,-1.1,0.3,8.4,,,,,,0.0
119,수원(농),2024-01-07 17:00:00,43.3,42.1,30.0,42.4,62.8,-2.6,,-2.7,-3.5,8.3,,,,,,0.0
119,수원(농),2024-01-07 18:00:00,40.8,41.7,30.1,42.4,63.8,-3.8,,-4.4,-5.8,8.2,,100.0,,,,0.0
119,수원(농),2024-01-07 19:00:00,40.2,41.7,30.5,42.1,63.1,-4.4,,-5.1,-6.8,8.2,,100.0,,,,0.0
119,수원(농),2024-01-07 20:00:00,41.0,41.3,30.2,42.1,62.6,-5.0,,-5.3,-8.0,8.2,,100.0,,,,0.0
119,수원(농),2024-01-07 21:00:00,47.9,41.2,29.7,41.7,62.9,-5.7,,-5.5,-9.8,8.1,,100.0,,,,0.0
119,수원(농),2024-01-07 22:00:00,47.1,41.3,29.7,41.0,63.1,-6.2,,-6.2,-8.8,8.1,,100.0,,,,0.0
119,수원(농),2024-01-07 23:00:00,54.9,40.8,29.6,40.8,62.3,-6.9,,-6.6,-9.3,8.1,,100.0,,,,0.0
119,수원(농),2024-01-08 00:00:00,59.1,40.4,29.5,40.8,63.1,-7.5,,-7.0,-10.1,8.1,,100.0,,,,0.0
119,수원(농),2024-01-08 01:00:00,62.3,39.9,28.8,40.5,62.3,-8.0,,-7.5,-10.9,8.1,,100.0,,,,0.0
119,수원(농),2024-01-08 02:00:00,64.7,39.4,29.0,40.4,62.9,-8.8,,-7.5,-13.1,8.0,,100.0,,,,0.0
119,수원(농),2024-01-08 03:00:00,68.9,39.2,28.3,40.0,62.5,-9.3,,-7.9,-14.2,8.0,,100.0,,,,0.0
119,수원(농),2024-01-08 04:00:00,74.2,38.4,27.4,39.7,63.3,-10.1,,-8.2,-14.6,8.0,,100.0,,,,0.0
119,수원(농),2024-01-08 05:00:00,77.7,37.7,27.3,39.5,63.0,-10.3,,-8.2,-14.6,8.0,,100.0,,,,0.0
119,수원(농),2024-01-08 06:00:00,81.5,37.2,26.9,38.9,63.0,-10.3,,-8.2,-14.3,8.0,,100.0,,,,0.0
119,수원(농),2024-01-08 07:00:00,81.1,36.7,26.8,38.5,63.1,-10.3,,-8.5,-14.3,8.0,,100.0,,,,0.0
119,수원(농),2024-01-08 08:00:00,80.7,36.3,26.5,38.2,62.4,-10.2,,-8.1,-14.0,8.0,,,,,,0.0
119,수원(농),2024-01-08 09:00:00,60.7,35.6,26.1,37.7,62.4,-6.6,,-6.0,-6.5,8.1,,,,,,0.0
119,수원(농),2024-01-08 10:00:00,52.8,35.8,26.4,38.0,63.6,-4.9,,-5.0,-2.6,8.3,,,,,,0.0
119,수원(농),2024-01-08 11:00:00,41.9,35.6,25.8,37.5,62.7,-3.6,,1.5,-3.0,8.4,,,,,,0.0
119,수원(농),2024-01-08 12:00:00,37.2,35.9,26.3,37.0,62.6,-2.8,,5.4,11.5,8.4,,,,,,0.0
119,수원(농),2024-01-08 13:00:00,36.5,35.6,26.0,36.9,63.1,-1.4,,5.3,16.5,8.4,,,,,,0.0
119,수원(농),2024-01-08 14:00:00,30.4,35.7,26.1,36.7,62.6,-0.1,,7.0,19.0,8.4,,,,,,0.0
119,수원(농),2024-01-08 15:00:00,30.1,35.8,26.1,36.7,59.2,-0.8,,5.7,10.4,8.4,,,,,,0.0
119,수원(농),2024-01-08 16:00:00,48.3,35.6,26.1,36.6,58.6,-0.3,,1.4,4.3,8.4,,,,,,0.0
119,수원(농),2024-01-08 17:00:00,56.6,35.9,26.0,36.4,57.8,-1.0,,-0.3,-1.3,8.3,,,,,,0.0
119,수원(농),2024-01-08 18:00:00,61.8,36.1,26.2,36.5,54.3,-2.5,,-0.7,-7.4,8.2,,100.0,,,,0.0
119,수원(농),2024-01-08 19:00:00,62.1,36.2,26.0,36.4,56.6,-2.9,,-0.9,-8.5,8.1,,100.0,,,,0.0
119,수원(농),2024-01-08 20:00:00,60.8,36.3,26.0,36.6,56.0,-3.1,,-1.3,-9.8,8.1,,100.0,,,,0.0
119,수원(농),2024-01-08 21:00:00,58.6,36.0,26.1,36.7,53.4,-2.4,,-1.1,-4.4,8.2,,100.0,,,,0.0
119,수원(농),2024-01-08 22:00:00,59.7,36.0,26.0,36.3,51.5,-2.4,,-1.2,-3.7,8.2,,100.0,,,,0.0
119,수원(농),2024-01-08 23:00:00,59.4,35.8,26.1,35.9,49.9,-2.8,,-1.6,-6.4,8.1,,100.0,,,,0.0
119,수원(농),2024-01-09 01:00:00,61.2,36.2,26.0,35.9,44.2,-2.3,,-1.1,-3.3,8.2,,100.0,,,0.0,3.0
119,수원(농),2024-01-09 02:00:00,61.9,35.9,26.0,36.3,40.5,-1.9,,-1.1,-2.5,8.2,,100.0,,,0.0,3.0
119,수원(농),2024-01-09 03:00:00,59.0,36.1,25.9,36.3,38.1,-1.6,,-1.2,-2.2,8.2,,100.0,,,0.0,3.0
119,수원(농),2024-01-09 04:00:00,60.9,36.0,25.9,36.3,37.8,-1.7,,-1.2,-2.5,8.2,,100.0,,,0.0,3.0
119,수원(농),2024-01-09 05:00:00,61.4,35.9,25.8,35.9,36.7,-1.3,,-1.2,-1.8,8.2,,,,,0.0,3.0
